  0.056,  0.055,  0.058,  0.048,  0.055,  0.061,  0.060,  0.060,  0.062,  0.063
  0.537,  0.519,  0.523,  0.520,  0.518,  0.524,  0.563,  0.571,  0.553,  0.523
  0.517,  0.504,  0.466,  0.468,  0.525,  0.578,  0.570,  1.059,  0.552,  0.533
  0.514,  0.516,  0.527,  0.501,  0.534,  0.540,  0.563,  0.562,  0.560,  0.606
  0.525,  0.511,  0.453,  0.535,  0.532,  0.549,  0.521,  0.567,  0.576,  0.530
  0.241,  0.220,  0.241,  0.219,  0.248,  0.221,  0.239,  0.234,  0.255,  0.251
  0.969,  0.880,  0.910,  0.887,  0.878,  0.913,  0.941,  0.942,  0.971,  0.944
  1.036,  0.952,  1.040,  1.846,  1.026,  1.065,  1.054,  1.139,  1.161,  1.027
  2.049,  1.299,  1.349,  2.651,  1.352,  1.580,  1.398,  3.213,  1.547,  1.632
  0.941,  0.901,  0.841,  0.991,  1.048,  1.037,  0.978,  1.063,  1.079,  1.040
  0.015,  0.037,  0.017,  0.019,  0.021,  0.022,  0.020,  0.019,  0.019,  0.022
  0.090,  0.108,  0.125,  0.135,  0.117,  0.123,  0.120,  0.130,  0.117,  0.129
  0.215,  0.119,  0.104,  0.114,  0.122,  0.123,  0.125,  0.124,  0.166,  0.131
  0.106,  0.157,  0.123,  0.111,  0.110,  0.126,  0.117,  0.120,  0.127,  0.124
  1.035,  1.073,  1.072,  1.081,  1.183,  1.131,  1.028,  1.113,  1.289,  1.115
  1.273,  1.283,  1.467,  1.300,  1.274,  1.370,  1.307,  1.271,  1.398,  1.389
  1.660,  1.718,  1.688,  1.742,  1.694,  1.850,  1.745,  1.781,  1.769,  1.849
  0.006,  0.005,  0.005,  0.005,  0.007,  0.006,  0.005,  0.006,  0.005,  0.006
  0.240,  0.238,  0.231,  0.221,  0.236,  0.243,  0.195,  0.246,  0.226,  0.237
  1.475,  1.554,  3.396,  1.439,  1.419,  1.721,  1.643,  1.854,  1.757,  1.691
  0.415,  0.394,  0.410,  0.388,  0.411,  0.430,  0.399,  0.431,  0.410,  0.419
  0.693,  1.106,  0.787,  0.734,  0.829,  0.775,  0.795,  0.918,  1.222,  0.771
  2.825,  2.918,  3.187,  2.773,  3.134,  2.988,  3.273,  3.070,  3.380,  3.163
